epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,13315.2,0.8588,0.57229,1.1685,0.98001,0.94359,0.95931,0.83392,0.56129,0.34394,0.92637,0.00194353,0.00194353,0.00194353
144,13403.1,0.86114,0.57816,1.18026,0.97926,0.9476,0.96169,0.82568,0.56522,0.33374,0.92414,0.00188191,0.00188191,0.00188191
145,13497.4,0.85501,0.5787,1.17903,0.97319,0.94359,0.95805,0.82977,0.54261,0.33098,0.91921,0.00182107,0.00182107,0.00182107
146,13585.2,0.86498,0.5759,1.17526,0.96829,0.94359,0.95676,0.83371,0.54213,0.33771,0.92452,0.00176101,0.00176101,0.00176101
147,13673.6,0.85866,0.5691,1.1696,0.9627,0.94359,0.95817,0.83452,0.53934,0.34781,0.92547,0.00170175,0.00170175,0.00170175
148,13763,0.8445,0.56709,1.16365,0.97367,0.94359,0.95617,0.82833,0.55288,0.34984,0.92541,0.0016433,0.0016433,0.0016433
149,13859.5,0.85604,0.57017,1.17152,0.97575,0.94468,0.95984,0.83191,0.54553,0.34075,0.9214,0.00158569,0.00158569,0.00158569
150,13947.9,0.84941,0.57548,1.16746,0.9707,0.94676,0.95999,0.83227,0.54138,0.34398,0.92313,0.00152892,0.00152892,0.00152892
151,14043.3,0.84549,0.56469,1.161,0.97057,0.94422,0.95867,0.82467,0.55816,0.35505,0.92779,0.001473,0.001473,0.001473
152,14139.4,0.85045,0.56879,1.17269,0.96827,0.94414,0.96351,0.84105,0.5153,0.32168,0.90864,0.00141796,0.00141796,0.00141796
153,14216.1,0.84373,0.56436,1.16271,0.97093,0.93303,0.9575,0.82966,0.54919,0.34281,0.91881,0.0013638,0.0013638,0.0013638
154,14302.2,0.83057,0.55417,1.15171,0.95859,0.91935,0.94407,0.8345,0.5461,0.33508,0.91845,0.00131054,0.00131054,0.00131054
155,14397.3,0.8485,0.57279,1.16906,0.95271,0.9328,0.94691,0.83155,0.54043,0.32839,0.91133,0.0012582,0.0012582,0.0012582
156,14464.2,0.82972,0.54425,1.15468,0.9615,0.9482,0.96446,0.83423,0.54807,0.34171,0.92317,0.00120677,0.00120677,0.00120677
157,14552.9,0.82852,0.55012,1.16243,0.96506,0.94606,0.96131,0.83171,0.57113,0.35045,0.93111,0.00115629,0.00115629,0.00115629
158,14638.2,0.83605,0.56302,1.16628,0.97613,0.94372,0.96006,0.84053,0.52529,0.32088,0.91732,0.00110675,0.00110675,0.00110675
159,14730.3,0.82036,0.55513,1.15274,0.97116,0.94359,0.95999,0.8197,0.56862,0.33662,0.92797,0.00105818,0.00105818,0.00105818
160,14832.8,0.84024,0.56103,1.16255,0.97537,0.93718,0.96145,0.83241,0.57813,0.343,0.93307,0.00101058,0.00101058,0.00101058
161,14937.4,0.82836,0.54997,1.15536,0.96755,0.94404,0.96316,0.82963,0.55809,0.326,0.92325,0.00096396,0.00096396,0.00096396
162,15026.5,0.82683,0.54711,1.1474,0.96801,0.94454,0.96504,0.84426,0.53228,0.32283,0.91384,0.000918342,0.000918342,0.000918342
163,15118,0.81812,0.54888,1.15027,0.96922,0.94426,0.96205,0.84307,0.53038,0.31668,0.91023,0.000873733,0.000873733,0.000873733
164,15219,0.82512,0.54683,1.15545,0.97356,0.93782,0.96133,0.83224,0.55577,0.3338,0.92338,0.000830142,0.000830142,0.000830142
165,15305.9,0.81102,0.53789,1.14989,0.97667,0.93741,0.96224,0.84031,0.53372,0.32115,0.91344,0.000787582,0.000787582,0.000787582
166,15389.3,0.8162,0.54267,1.15227,0.97576,0.94419,0.96274,0.84172,0.52928,0.32876,0.91252,0.000746062,0.000746062,0.000746062
167,15476.7,0.80939,0.5483,1.1531,0.98091,0.94338,0.96268,0.8374,0.54134,0.32952,0.91557,0.000705594,0.000705594,0.000705594
168,15555.9,0.81163,0.54411,1.14147,0.97051,0.94463,0.96224,0.83642,0.53542,0.3236,0.914,0.000666186,0.000666186,0.000666186
169,15654.6,0.82049,0.54408,1.15999,0.9712,0.94455,0.96579,0.83775,0.53231,0.31325,0.91171,0.000627848,0.000627848,0.000627848
170,15737.4,0.80343,0.53673,1.13968,0.97537,0.93756,0.96252,0.83621,0.54992,0.32693,0.91973,0.000590591,0.000590591,0.000590591
171,15814.5,0.80918,0.546,1.14073,0.97322,0.94202,0.96298,0.83557,0.54799,0.32787,0.91764,0.000554422,0.000554422,0.000554422
